  A B C D E F G H I J K L M N O P
A 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
B 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0
C 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
D 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
E 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0
F 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
G 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
H 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
J 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
K 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
M 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
N 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
O 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
